sequence,year,documentLabel,sourceMarkdown,sourceSha256,sourceBytes,boundaryCopy,boundaryCopySha256,boundaryCopyBytes,changed,actions,removedPrefixBytes,removedPrefixSha256,removedSuffixBytes,removedSuffixSha256,officialSourcePath,officialSourceUrl,status
1,1977,1977 年致伯克希尔股东信,content/letters/berkshire_1977-巴菲特致股东信.md,89aa1d11a5c90e5dbb6d264d30ea43ee50cec7d93b41e8e900f12958c65f3c3c,18482,editorial/buffett/collation/shareholder-letters/berkshire_1977-巴菲特致股东信.md,89aa1d11a5c90e5dbb6d264d30ea43ee50cec7d93b41e8e900f12958c65f3c3c,18482,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1977.html,https://berkshirehathaway.com/letters/1977.html,boundary-cleaned-not-yet-bilingually-collated
2,1978,1978 年致伯克希尔股东信,content/letters/berkshire_1978-巴菲特致股东信.md,f7f8303d9b10fd73b4b58b1ef0c69070937387400936d5b318ad27fc41665b87,25384,editorial/buffett/collation/shareholder-letters/berkshire_1978-巴菲特致股东信.md,f7f8303d9b10fd73b4b58b1ef0c69070937387400936d5b318ad27fc41665b87,25384,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1978.html,https://berkshirehathaway.com/letters/1978.html,boundary-cleaned-not-yet-bilingually-collated
3,1979,1979 年致伯克希尔股东信,content/letters/berkshire_1979-巴菲特致股东信.md,3d4e93c881f261446f52a51dfb787ff061e6a73234636e42a080a072d554512a,36656,editorial/buffett/collation/shareholder-letters/berkshire_1979-巴菲特致股东信.md,3d4e93c881f261446f52a51dfb787ff061e6a73234636e42a080a072d554512a,36656,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1979.html,https://berkshirehathaway.com/letters/1979.html,boundary-cleaned-not-yet-bilingually-collated
4,1980,1980 年致伯克希尔股东信,content/letters/berkshire_1980-巴菲特致股东信.md,6be07829e7e52c127d1f5bd77de81d740774679230001f9b609aaf98b346a874,42673,editorial/buffett/collation/shareholder-letters/berkshire_1980-巴菲特致股东信.md,6be07829e7e52c127d1f5bd77de81d740774679230001f9b609aaf98b346a874,42673,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1980.html,https://berkshirehathaway.com/letters/1980.html,boundary-cleaned-not-yet-bilingually-collated
5,1981,1981 年致伯克希尔股东信,content/letters/berkshire_1981-巴菲特致股东信.md,6ddd9c3dec2bfec3071bc4c8fd0fe9b33b4fe7d0febff29f4327c1d816787ccd,37789,editorial/buffett/collation/shareholder-letters/berkshire_1981-巴菲特致股东信.md,6ddd9c3dec2bfec3071bc4c8fd0fe9b33b4fe7d0febff29f4327c1d816787ccd,37789,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1981.html,https://berkshirehathaway.com/letters/1981.html,boundary-cleaned-not-yet-bilingually-collated
6,1982,1982 年致伯克希尔股东信,content/letters/berkshire_1982-巴菲特致股东信.md,15cd44d07a7332a38c6b903299ba9cd0b24cb779a4026f9cc9e3f0cca5923cda,44580,editorial/buffett/collation/shareholder-letters/berkshire_1982-巴菲特致股东信.md,15cd44d07a7332a38c6b903299ba9cd0b24cb779a4026f9cc9e3f0cca5923cda,44580,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1982.html,https://berkshirehathaway.com/letters/1982.html,boundary-cleaned-not-yet-bilingually-collated
7,1983,1983 年致伯克希尔股东信,content/letters/berkshire_1983-巴菲特致股东信.md,70e3eb6a66d62870742761bd831b41e548b20119564db48290e4284e46fd8dd6,63469,editorial/buffett/collation/shareholder-letters/berkshire_1983-巴菲特致股东信.md,70e3eb6a66d62870742761bd831b41e548b20119564db48290e4284e46fd8dd6,63469,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1983.html,https://berkshirehathaway.com/letters/1983.html,boundary-cleaned-not-yet-bilingually-collated
8,1984,1984 年致伯克希尔股东信,content/letters/berkshire_1984-巴菲特致股东信.md,bcfc97cf3d359f8cd7acf93d7a8e7d2f650cfcf4fc993972855ab7e9095f9366,68175,editorial/buffett/collation/shareholder-letters/berkshire_1984-巴菲特致股东信.md,bcfc97cf3d359f8cd7acf93d7a8e7d2f650cfcf4fc993972855ab7e9095f9366,68175,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1984.html,https://berkshirehathaway.com/letters/1984.html,boundary-cleaned-not-yet-bilingually-collated
9,1985,1985 年致伯克希尔股东信,content/letters/berkshire_1985-巴菲特致股东信.md,d4745abba5b7ad49cdf968ddab2b5545cee921c29b20b697d08775a9557a7efc,74536,editorial/buffett/collation/shareholder-letters/berkshire_1985-巴菲特致股东信.md,d4745abba5b7ad49cdf968ddab2b5545cee921c29b20b697d08775a9557a7efc,74536,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1985.html,https://berkshirehathaway.com/letters/1985.html,boundary-cleaned-not-yet-bilingually-collated
10,1986,1986 年致伯克希尔股东信,content/letters/berkshire_1986-巴菲特致股东信.md,f709bfd622aacf9c7e1b310d82d978561dbada320793e1db36a0bf759f6c1791,74615,editorial/buffett/collation/shareholder-letters/berkshire_1986-巴菲特致股东信.md,f709bfd622aacf9c7e1b310d82d978561dbada320793e1db36a0bf759f6c1791,74615,false,,0,,0,,content/source-documents/berkshire-shareholder-letters/1986.html,https://berkshirehathaway.com/letters/1986.html,boundary-cleaned-not-yet-bilingually-collated
