person,sequence,year,collection,title,linkedMarkdown,linkedMarkdownBytes,linkedMarkdownSha256,officialSourcePath,officialSourceUrl,officialSourceSha256,workingManuscript
buffett,1,1977,berkshire-shareholder-letter,1977 年致伯克希尔股东信,content/letters/berkshire_1977-巴菲特致股东信.md,18482,89aa1d11a5c90e5dbb6d264d30ea43ee50cec7d93b41e8e900f12958c65f3c3c,content/source-documents/berkshire-shareholder-letters/1977.html,https://berkshirehathaway.com/letters/1977.html,ef4c39cbca16040bb824764eca719cd934ec62380e1b9c61396e2f483d07d9e0,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,2,1978,berkshire-shareholder-letter,1978 年致伯克希尔股东信,content/letters/berkshire_1978-巴菲特致股东信.md,25384,f7f8303d9b10fd73b4b58b1ef0c69070937387400936d5b318ad27fc41665b87,content/source-documents/berkshire-shareholder-letters/1978.html,https://berkshirehathaway.com/letters/1978.html,71231697294a1a14b9283e23ffac6dfb63d7ef11c083dea2fb21019585606d01,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,3,1979,berkshire-shareholder-letter,1979 年致伯克希尔股东信,content/letters/berkshire_1979-巴菲特致股东信.md,36656,3d4e93c881f261446f52a51dfb787ff061e6a73234636e42a080a072d554512a,content/source-documents/berkshire-shareholder-letters/1979.html,https://berkshirehathaway.com/letters/1979.html,4f66a3daa2236cdedecced3e9f58c2968a5f08840a2dc860da4c4659a96a7c8f,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,4,1980,berkshire-shareholder-letter,1980 年致伯克希尔股东信,content/letters/berkshire_1980-巴菲特致股东信.md,42673,6be07829e7e52c127d1f5bd77de81d740774679230001f9b609aaf98b346a874,content/source-documents/berkshire-shareholder-letters/1980.html,https://berkshirehathaway.com/letters/1980.html,54ac7fa996187c7403daeca347a3067c093973b347ebf9da389865ec6c2a6d3f,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,5,1981,berkshire-shareholder-letter,1981 年致伯克希尔股东信,content/letters/berkshire_1981-巴菲特致股东信.md,37789,6ddd9c3dec2bfec3071bc4c8fd0fe9b33b4fe7d0febff29f4327c1d816787ccd,content/source-documents/berkshire-shareholder-letters/1981.html,https://berkshirehathaway.com/letters/1981.html,cb53d5175e16316cb66edef22f21720994d27a9749357137e67a021f8a569d7c,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,6,1982,berkshire-shareholder-letter,1982 年致伯克希尔股东信,content/letters/berkshire_1982-巴菲特致股东信.md,44580,15cd44d07a7332a38c6b903299ba9cd0b24cb779a4026f9cc9e3f0cca5923cda,content/source-documents/berkshire-shareholder-letters/1982.html,https://berkshirehathaway.com/letters/1982.html,239ef9651d75cf8124caf3c404d7c17e1c431fce3ab36aa962fc07bff07254c8,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,7,1983,berkshire-shareholder-letter,1983 年致伯克希尔股东信,content/letters/berkshire_1983-巴菲特致股东信.md,63469,70e3eb6a66d62870742761bd831b41e548b20119564db48290e4284e46fd8dd6,content/source-documents/berkshire-shareholder-letters/1983.html,https://berkshirehathaway.com/letters/1983.html,3d74da78af60d748df810860af64100a52c8031f572e9f9411e42ab5afbd69a9,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,8,1984,berkshire-shareholder-letter,1984 年致伯克希尔股东信,content/letters/berkshire_1984-巴菲特致股东信.md,68175,bcfc97cf3d359f8cd7acf93d7a8e7d2f650cfcf4fc993972855ab7e9095f9366,content/source-documents/berkshire-shareholder-letters/1984.html,https://berkshirehathaway.com/letters/1984.html,c1eea368a005ea4c26c5c32c47da48255ecf21bd15ec7d8af174e750d2e73ad8,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,9,1985,berkshire-shareholder-letter,1985 年致伯克希尔股东信,content/letters/berkshire_1985-巴菲特致股东信.md,74536,d4745abba5b7ad49cdf968ddab2b5545cee921c29b20b697d08775a9557a7efc,content/source-documents/berkshire-shareholder-letters/1985.html,https://berkshirehathaway.com/letters/1985.html,081058f9b1a630da524f7ade4fccbd8d1f1cc5f04a1f0d7b9c58b9cc49770705,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
buffett,10,1986,berkshire-shareholder-letter,1986 年致伯克希尔股东信,content/letters/berkshire_1986-巴菲特致股东信.md,74615,f709bfd622aacf9c7e1b310d82d978561dbada320793e1db36a0bf759f6c1791,content/source-documents/berkshire-shareholder-letters/1986.html,https://berkshirehathaway.com/letters/1986.html,7a1c77d00cd18b0ce312eae72c95bf45c8da7d0169451f4ed67924dbff2562e8,editorial/buffett/manuscript/巴菲特文献全集_官方底本工作稿.md
