person,collection,year,format,localPath,officialUrl,officialIndexUrl,linkedMarkdown,locatorPath,bytes,sha256
buffett,berkshire-shareholder-letter,1977,html,content/source-documents/berkshire-shareholder-letters/1977.html,https://berkshirehathaway.com/letters/1977.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1977-巴菲特致股东信.md,,21781,ef4c39cbca16040bb824764eca719cd934ec62380e1b9c61396e2f483d07d9e0
buffett,berkshire-shareholder-letter,1978,html,content/source-documents/berkshire-shareholder-letters/1978.html,https://berkshirehathaway.com/letters/1978.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1978-巴菲特致股东信.md,,30983,71231697294a1a14b9283e23ffac6dfb63d7ef11c083dea2fb21019585606d01
buffett,berkshire-shareholder-letter,1979,html,content/source-documents/berkshire-shareholder-letters/1979.html,https://berkshirehathaway.com/letters/1979.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1979-巴菲特致股东信.md,,45012,4f66a3daa2236cdedecced3e9f58c2968a5f08840a2dc860da4c4659a96a7c8f
buffett,berkshire-shareholder-letter,1980,html,content/source-documents/berkshire-shareholder-letters/1980.html,https://berkshirehathaway.com/letters/1980.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1980-巴菲特致股东信.md,,51554,54ac7fa996187c7403daeca347a3067c093973b347ebf9da389865ec6c2a6d3f
buffett,berkshire-shareholder-letter,1981,html,content/source-documents/berkshire-shareholder-letters/1981.html,https://berkshirehathaway.com/letters/1981.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1981-巴菲特致股东信.md,,47771,cb53d5175e16316cb66edef22f21720994d27a9749357137e67a021f8a569d7c
buffett,berkshire-shareholder-letter,1982,html,content/source-documents/berkshire-shareholder-letters/1982.html,https://berkshirehathaway.com/letters/1982.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1982-巴菲特致股东信.md,,55640,239ef9651d75cf8124caf3c404d7c17e1c431fce3ab36aa962fc07bff07254c8
buffett,berkshire-shareholder-letter,1983,html,content/source-documents/berkshire-shareholder-letters/1983.html,https://berkshirehathaway.com/letters/1983.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1983-巴菲特致股东信.md,,79963,3d74da78af60d748df810860af64100a52c8031f572e9f9411e42ab5afbd69a9
buffett,berkshire-shareholder-letter,1984,html,content/source-documents/berkshire-shareholder-letters/1984.html,https://berkshirehathaway.com/letters/1984.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1984-巴菲特致股东信.md,,85836,c1eea368a005ea4c26c5c32c47da48255ecf21bd15ec7d8af174e750d2e73ad8
buffett,berkshire-shareholder-letter,1985,html,content/source-documents/berkshire-shareholder-letters/1985.html,https://berkshirehathaway.com/letters/1985.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1985-巴菲特致股东信.md,,90476,081058f9b1a630da524f7ade4fccbd8d1f1cc5f04a1f0d7b9c58b9cc49770705
buffett,berkshire-shareholder-letter,1986,html,content/source-documents/berkshire-shareholder-letters/1986.html,https://berkshirehathaway.com/letters/1986.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1986-巴菲特致股东信.md,,112247,7a1c77d00cd18b0ce312eae72c95bf45c8da7d0169451f4ed67924dbff2562e8
buffett,berkshire-shareholder-letter,1987,html,content/source-documents/berkshire-shareholder-letters/1987.html,https://berkshirehathaway.com/letters/1987.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1987-巴菲特致股东信.md,,82757,88ea72481dcae5940e908f91646afb8f775cae542250d500fad2c3e28e5a58c0
buffett,berkshire-shareholder-letter,1988,html,content/source-documents/berkshire-shareholder-letters/1988.html,https://berkshirehathaway.com/letters/1988.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1988-巴菲特致股东信.md,,77771,0effa5b4934e404eebc8e1a50143b21026074f3f38e4761364b4e38bcb9ad16d
buffett,berkshire-shareholder-letter,1989,html,content/source-documents/berkshire-shareholder-letters/1989.html,https://berkshirehathaway.com/letters/1989.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1989-巴菲特致股东信.md,,93861,4dae70ca027a554a523a1de398cf7310e1cbdcc146c0cce74659931d57141afa
buffett,berkshire-shareholder-letter,1990,html,content/source-documents/berkshire-shareholder-letters/1990.html,https://berkshirehathaway.com/letters/1990.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1990-巴菲特致股东信.md,,112607,277b2f56fd79847abf6b2bc75420dfdc8630fdc5367c4b8b1abbdba48e956126
buffett,berkshire-shareholder-letter,1991,html,content/source-documents/berkshire-shareholder-letters/1991.html,https://berkshirehathaway.com/letters/1991.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1991-巴菲特致股东信.md,,62912,7ee3610bfdfb0c6dda9ffeab2f2c6590df70951452ad8c7ff435aaa4d5b55867
buffett,berkshire-shareholder-letter,1992,html,content/source-documents/berkshire-shareholder-letters/1992.html,https://berkshirehathaway.com/letters/1992.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1992-巴菲特致股东信.md,,76201,281218259801b95b4fad83f3e92a3e7bfbc15389b8f308b4f5992730f19cdde8
buffett,berkshire-shareholder-letter,1993,html,content/source-documents/berkshire-shareholder-letters/1993.html,https://berkshirehathaway.com/letters/1993.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1993-巴菲特致股东信.md,,74941,9490e7d60ebe644e1f9f717e07441dede038ebfa8c29b0f03c544407557fbf96
buffett,berkshire-shareholder-letter,1994,html,content/source-documents/berkshire-shareholder-letters/1994.html,https://berkshirehathaway.com/letters/1994.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1994-巴菲特致股东信.md,,65391,291a33c8e9c8e9ec636b2fa0b7ac8e81303c86551a1b3c2b3cb9f56296827f4c
buffett,berkshire-shareholder-letter,1995,html,content/source-documents/berkshire-shareholder-letters/1995.html,https://berkshirehathaway.com/letters/1995.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1995-巴菲特致股东信.md,,77925,b949efa183c1cc7120b8e8d8b095d4feed8ddb173b3c4fa1524b162dddd6ec4c
buffett,berkshire-shareholder-letter,1996,html,content/source-documents/berkshire-shareholder-letters/1996.html,https://berkshirehathaway.com/letters/1996.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1996-巴菲特致股东信.md,,78056,8518b0b6a2c2586cb46fe2507cf2bbf22ce3b557e9989e0ffe93d43e05980ced
buffett,berkshire-shareholder-letter,1997,html,content/source-documents/berkshire-shareholder-letters/1997.html,https://berkshirehathaway.com/letters/1997.html,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1997-巴菲特致股东信.md,,84889,c756c7a76a810335932c9edb7a8b603c8877d39668886634e164fe52e8a2bcd2
buffett,berkshire-shareholder-letter,1998,pdf,content/source-documents/berkshire-shareholder-letters/1998pdf.pdf,https://berkshirehathaway.com/letters/1998pdf.pdf,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1998-巴菲特致股东信.md,content/source-documents/berkshire-shareholder-letters/1998.html,78409,1d798cda07b82e582643a0d9c0a5adf9a141f908426e666774fca9a592944941
buffett,berkshire-shareholder-letter,1999,pdf,content/source-documents/berkshire-shareholder-letters/final1999pdf.pdf,https://berkshirehathaway.com/letters/final1999pdf.pdf,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_1999-巴菲特致股东信.md,content/source-documents/berkshire-shareholder-letters/1999.html,90686,cf6b22508de51e7ba96e61f1eee51e45d3a5aaf27182cf491fd3e0ca94089d3b
buffett,berkshire-shareholder-letter,2000,pdf,content/source-documents/berkshire-shareholder-letters/2000pdf.pdf,https://berkshirehathaway.com/letters/2000pdf.pdf,https://berkshirehathaway.com/letters/letters.html,content/letters/berkshire_2000-巴菲特致股东信.md,content/source-documents/berkshire-shareholder-letters/2000.html,94218,401a40b7011271dfc00c246a92aefd30887a6fdaf53ab0c8a1132b3d6c3078b9
