sequence,sourceLabel,chineseMarkdown,chineseSha256,chineseBytes,chineseVisibleChars,chineseHanChars,englishPdf,englishStartPage,englishEndPage,englishPageCount,englishExtractionSha256,englishVisibleChars,englishWords,sourceUrl,packet,chineseFidelityPass,collationStatus
1,1957 Letter,content/partnership/partnership_1957-巴菲特致合伙人信.md,27e786417e8142cd81ecf8a8120216b26619dacd517415a92bea02c7e17d7ac0,6042,2121,1742,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,1,3,3,c56db53bb02a7ab7b459c70b5e3e3b1e470bced1babfdb62dc5827fe7352666d,6331,1263,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1957-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
2,1958 Letter,content/partnership/partnership_1958-巴菲特致合伙人信.md,a6d1312b0c93b1e7c00915d0ddfa5f454c30b9313ef9e44434f4b15b447b1cf8,6844,2392,1989,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,4,6,3,2885e1fa13bb1b95128385bf08340772f791fcfa90b5fdfa54a14833ae31ca2a,6518,1305,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1958-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
3,1959 Letter,content/partnership/partnership_1959-巴菲特致合伙人信.md,a14db9ab753cd6d8ffe0544e7ee922cd73a06185eba1aba840a2dc64535efa05,4617,1664,1337,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,7,8,2,6484da7e722ae2589085eaf379f88efb52921289fe3f463d732801d138a12d04,4748,888,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1959-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
4,1960 Letter / annual,content/partnership/partnership_1960-巴菲特致合伙人信.md,9303d7e8ba71c94d952bd758a72c741e9276d306956e5d65bbba22c9c5a5e3d7,12441,4448,3558,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,9,13,5,d605e24071bbfc8fea227e52802432462d8036d3579e5771386709c889520c90,13100,2482,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1960-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
5,July 1961 interim letter,content/partnership/partnership_1961-interim-巴菲特致合伙人信.md,38e6f01ff4dad35541532693f2f5ae038927c97e2b6cde022e2e0c43b61f98ae,6759,2352,1967,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,14,16,3,4b9d5a70f413d5f8be6d77930ebbf3ffd2324bc6cd29b6aef286b48e5a9d9787,6679,1334,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1961-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
6,"January 24, 1962 / 1961 annual",content/partnership/partnership_1961-annual-巴菲特致合伙人信.md,313f04f37f26055228fd7c5ce83df9ec8f628bad0238985a4e5f7d89294bf4af,21652,8402,5677,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,17,25,9,f9e37a464997c32b1f48e74fb610c217d4cd5fd9053457128a3cc9d076bfd064,21696,4138,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1961-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
7,"July 6, 1962 interim letter",content/partnership/partnership_1962-interim-巴菲特致合伙人信.md,9c929fcc4ef762e23c6e2a80a1e7d4131bc818d8dac76eb7a71b59e22ab8c38e,10308,4283,2482,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,26,29,4,1ccf528a0fa498eb7411980ab7c5e49edc0e207add54818c426dd35ca7b52b6f,10058,1834,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1962-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
8,"November 1, 1962",content/partnership/partnership_1962-11月-巴菲特致合伙人信.md,0b03db75a63552c0f4233fe8ac585bccc57c8bd3afeeb2828fe93870cf6599f6,5522,1991,1574,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,30,31,2,d82d84683bb7a8d374eb17f95143251eb666fdf3561e8dfc02f434e63f370563,5473,1120,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1962-11月-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
9,"January 18, 1963 / 1962 annual",content/partnership/partnership_1962-annual-巴菲特致合伙人信.md,471765ac166a08d629d4d0cbd6e1a5232e1d9c5de1b8af13378a889fbff4f8d5,28425,10816,7518,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,32,41,10,3cedfd5bda9b9dfec199542419e01a964d88257cbb06a12fc2104b0d658f9381,26859,5136,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1962-annual-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
10,"July 10, 1963 interim letter",content/partnership/partnership_1963-interim-巴菲特致合伙人信.md,88d5b2f459de68bcf55cacdc7f84a7a529708ef4c95acc47ee44d25e26f5bf08,13929,5432,3475,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,42,48,7,e3b76958c37a973bf957c24beaec453700c0a7641a71f9b6f615bae46e4983b8,12349,2151,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf,editorial/buffett/collation/partnership/partnership_1963-interim-巴菲特致合伙人信_中英校勘包.md,true,pending-manual-paragraph-collation
