relative,status,startPage,endPage,sourceLabel,duplicateOf,note,sourcePath,sourceUrl
content/partnership/partnership_1956-有限合伙协议.md,not-found-in-ivey-compilation,,,,,法律协议，不是 Ivey 合编本中的一封书信；需另找带签署页的完整协议扫描件。,,
content/partnership/partnership_1957-巴菲特致合伙人信.md,page-mapped,1,3,1957 Letter,,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1958-巴菲特致合伙人信.md,page-mapped,4,6,1958 Letter,,中文文件含一条校对注，正式成书时必须与本人正文隔离。,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1959-巴菲特致合伙人信.md,page-mapped,7,8,1959 Letter,,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1960-巴菲特致合伙人信.md,page-mapped,9,13,1960 Letter / annual,,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1961-annual-巴菲特致合伙人信.md,page-mapped,17,25,"January 24, 1962 / 1961 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1961-interim-巴菲特致合伙人信.md,page-mapped,14,16,July 1961 interim letter,,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1962-11月-巴菲特致合伙人信.md,page-mapped,30,31,"November 1, 1962",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1962-12月-巴菲特致合伙人信.md,not-found-in-ivey-compilation,,,,,1962 年 12 月 24 日税务信未出现在 Ivey 合编本。,,
content/partnership/partnership_1962-annual-巴菲特致合伙人信.md,page-mapped,32,41,"January 18, 1963 / 1962 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1962-interim-巴菲特致合伙人信.md,page-mapped,26,29,"July 6, 1962 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1963-11月-巴菲特致合伙人信.md,page-mapped,49,50,"November 6, 1963",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1963-12月-巴菲特致合伙人信.md,not-found-in-ivey-compilation,,,,,1963 年 12 月 26 日税务信未出现在 Ivey 合编本。,,
content/partnership/partnership_1963-annual-巴菲特致合伙人信.md,page-mapped,51,62,"January 18, 1964 / 1963 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1963-interim-巴菲特致合伙人信.md,page-mapped,42,48,"July 10, 1963 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1964-annual-巴菲特致合伙人信.md,page-mapped,67,78,"January 18, 1965 / 1964 annual",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
content/partnership/partnership_1964-interim-巴菲特致合伙人信.md,page-mapped,63,66,"July 8, 1964 interim letter",,,content/source-documents/buffett-partnership-letters/ivey-buffett-partnership-letters.pdf,https://www.ivey.uwo.ca/media/2975913/buffett-partnership-letters.pdf
